,s_id,Station_name,Street,Neighbourhood,Area_loc,s_lat,s_lon,s_num_docks,Size_bucket
348,2639,"King Edward Walk, Waterloo",King Edward Walk,Waterloo,South_West,51.49775,-0.10988,21,100
349,2649,"Sardinia Street, Holborn",Sardinia Street,Holborn,Central,51.515208,-0.117863,24,100
350,3499,"Prince Consort Road, Knightsbridge",Prince Consort Road,Knightsbridge,South_West,51.499806,-0.176415,17,100
351,2696,"Waterloo Station 1, Waterloo",Waterloo Station 1,Waterloo,Central,51.504027,-0.113864,36,150
352,10632,"Kensington Town Hall, Kensington",Kensington Town Hall,Kensington,West,51.501945,-0.194392,18,100
353,2683,"Millbank Tower, Pimlico",Millbank Tower,Pimlico,South_West,51.491884,-0.125674,24,100
354,2648,"Waterloo Bridge, South Bank",Waterloo Bridge,South Bank,Central,51.505354,-0.113656,14,50
355,2677,"Natural History Museum, South Kensington",Natural History Museum,South Kensington,South_West,51.495592,-0.179077,42,150
356,2682,"Turquoise Island, Notting Hill",Turquoise Island,Notting Hill,West,51.514311,-0.200838,21,100
357,3506,"Stanhope Gate, Mayfair",Stanhope Gate,Mayfair,Central,51.506864,-0.150666,20,100
358,2669,"Charlotte Street, Fitzrovia",Charlotte Street,Fitzrovia,Central,51.51953,-0.135777,14,50
359,2678,"Farm Street, Mayfair",Farm Street,Mayfair,Central,51.509351,-0.147449,15,50
360,2660,"Frith Street, Soho",Frith Street,Soho,Central,51.513103,-0.131213,18,100
361,3505,"Marloes Road, Kensington",Marloes Road,Kensington,South_West,51.496481,-0.192404,15,50
362,3504,"Moor Street, Soho",Moor Street,Soho,Central,51.513527,-0.13011,16,100
363,2703,"Fire Brigade Pier, Vauxhall",Fire Brigade Pier,Vauxhall,South_West,51.493699,-0.121394,30,100
364,10621,"Upper Grosvenor Street, Mayfair",Upper Grosvenor Street,Mayfair,Central,51.51013,-0.155757,18,100
365,1223,"Buxton Street 1, Shoreditch",Buxton Street 1,Shoreditch,East,51.521776,-0.068856,41,150
366,2688,"Clifford Street, Mayfair",Clifford Street,Mayfair,Central,51.510662,-0.142345,17,100
367,1220,"Imperial College, Knightsbridge",Imperial College,Knightsbridge,South_West,51.499428,-0.179702,20,100
368,2699,"Snow Hill, Farringdon",Snow Hill,Farringdon,Central,51.517334,-0.103604,15,50
369,2698,"Aberdeen Place, St. John's Wood",Aberdeen Place,St. John's Wood,North,51.524826,-0.176268,17,100
370,2695,"Cadogan Gardens, Chelsea",Cadogan Gardens,Chelsea,South_West,51.492462,-0.159919,14,50
371,2693,"Shouldham Street, Marylebone",Shouldham Street,Marylebone,Central,51.51809,-0.163609,16,100
372,1227,"Devonshire Terrace, Bayswater",Devonshire Terrace,Bayswater,Central,51.51348,-0.17977,16,100
373,10631,"Holland Park, Kensington",Holland Park,Kensington,West,51.502319,-0.200742,30,100
374,2687,"Brick Lane Market, Shoreditch",Brick Lane Market,Shoreditch,East,51.522617,-0.071653,24,100
375,1225,"George Street, Marylebone",George Street,Marylebone,Central,51.517703,-0.154106,25,100
376,2701,"Columbia Road, Shoreditch",Columbia Road,Shoreditch,North,51.528187,-0.075375,23,100
377,10625,"Penfold Street, Marylebone",Penfold Street,Marylebone,Central,51.522892,-0.171681,13,50
378,10630,"George Place Mews, Marylebone",George Place Mews,Marylebone,Central,51.516892,-0.158249,15,50
379,1110,"Palace Gate, Kensington Gardens",Palace Gate,Kensington Gardens,West,51.502042,-0.1844,11,50
380,1107,"Gloucester Road Station, South Kensington",Gloucester Road Station,South Kensington,South_West,51.494185,-0.18267,13,50
381,1129,"Sun Street, Liverpool Street",Sun Street,Liverpool Street,East,51.520009,-0.083935,24,100
382,10624,"Strata, Elephant & Castle",Strata,Elephant & Castle,East,51.493146,-0.099828,39,150
383,1058,"Edgware Road Station, Marylebone",Edgware Road Station,Marylebone,Central,51.519968,-0.169774,61,200
384,10629,"Rotherhithe Roundabout, Rotherhithe",Rotherhithe Roundabout,Rotherhithe,East,51.499169,-0.055846,19,100
385,10628,"Cleaver Street, Kennington",Cleaver Street,Kennington,South_West,51.488105,-0.110121,16,100
386,22160,"Chelsea Bridge, Pimlico",Chelsea Bridge,Pimlico,South_West,51.485821,-0.149004,14,50
387,22162,"Southwark Station 1, Southwark",Southwark Station 1,Southwark,Central,51.504043,-0.105312,37,150
388,22163,"Southwark Station 2, Southwark",Southwark Station 2,Southwark,Central,51.504044,-0.104778,45,150
389,22164,"Eaton Square (South), Belgravia",Eaton Square (South),Belgravia,South_West,51.494561,-0.153933,31,150
390,22159,"Ebury Bridge, Pimlico",Ebury Bridge,Pimlico,South_West,51.490491,-0.149186,27,100
391,22161,"Vincent Street, Pimlico",Vincent Street,Pimlico,South_West,51.493072,-0.129925,17,100
392,22180,"Cheapside, Bank",Cheapside,Bank,East,51.51397,-0.09294,42,150
393,22179,"Exhibition Road, Knightsbridge",Exhibition Road,Knightsbridge,South_West,51.499917,-0.174554,18,100
394,22182,"South Parade, Chelsea",South Parade,Chelsea,South_West,51.48902,-0.17524,18,100
395,22183,"Crinan Street, King's Cross",Crinan Street,King's Cross,North,51.534474,-0.122203,19,100
396,22158,"Exhibition Road Museums 1, South Kensington",Exhibition Road Museums 1,South Kensington,South_West,51.496468,-0.173796,13,50
397,22169,"Wren Street, Holborn",Wren Street,Holborn,North,51.524564,-0.116279,33,150
398,22170,"Kennington Station, Kennington",Kennington Station,Kennington,South_West,51.488852,-0.105593,21,100
399,200056,"Vauxhall Walk, Vauxhall",Vauxhall Walk,Vauxhall,South_West,51.488124,-0.120903,26,100
400,200053,"Killick Street, King's Cross",Killick Street,King's Cross,North,51.5338,-0.118677,22,100
401,200032,"Kennington Oval, Oval",Kennington Oval,Oval,South_West,51.483145,-0.113134,32,150
402,200039,"Sail Street, Vauxhall",Sail Street,Vauxhall,South_West,51.495656,-0.114605,24,100
403,200035,"Walmer Road, Avondale",Walmer Road,Avondale,West,51.510101,-0.211358,24,100
404,200033,"Philpot Street, Whitechapel",Philpot Street,Whitechapel,East,51.515256,-0.058641,30,100
405,200047,"Bethnal Green Garden, Bethnal Green",Bethnal Green Garden,Bethnal Green,North,51.52568,-0.055312,24,100
406,200003,"Cheshire Street, Bethnal Green",Cheshire Street,Bethnal Green,North,51.52388,-0.065076,27,100
407,200042,"York Hall, Bethnal Green",York Hall,Bethnal Green,North,51.528936,-0.055894,27,100
